,Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt,TotYds,TotTD,TotY/G,MVP
77,78,DeAngelo Williams\WillDe02,2008,25,1-27,CAR,NFL,16,16.0,273,1515,5.55,18,94.7,30.0,22,121,5.5,2,7.6,73.3%,4.03,1636,20,102.3,0
78,79,Herschel Walker\WalkHe00,1988,26,5-114,DAL,NFL,16,16.0,361,1514,4.19,5,94.6,,53,505,9.53,2,31.6,,,2019,7,126.19999999999999,0
79,80,Curtis Martin*\MartCu00,2001,28,3-74,NYJ,NFL,16,16.0,333,1513,4.54,10,94.6,63.0,53,320,6.04,0,20.0,84.1%,5.08,1833,10,114.6,0
80,81,Wilbert Montgomery\MontWi00,1979,25,6-154,PHI,NFL,16,16.0,338,1512,4.47,9,94.5,,41,494,12.05,5,30.9,,,2006,14,125.4,0
81,82,Jamaal Charles\CharJa00,2012,26,3-73,KAN,NFL,16,15.0,285,1509,5.29,5,94.3,49.0,35,236,6.74,1,14.8,71.4%,4.82,1745,6,109.1,0
82,83,Eddie George\GeorEd00,2000,27,1-14,TEN,NFL,16,16.0,403,1509,3.74,14,94.3,65.0,50,453,9.06,2,28.3,76.9%,6.97,1962,16,122.6,0
83,84,Clinton Portis\PortCl00,2002,21,2-51,DEN,NFL,16,12.0,273,1508,5.52,15,94.3,49.0,33,364,11.03,2,22.8,67.3%,7.43,1872,17,117.1,0
84,85,Edgerrin James*\JameEd00,2005,27,1-4,IND,NFL,15,15.0,360,1506,4.18,13,100.4,50.0,44,337,7.66,1,22.5,88.0%,6.74,1843,14,122.9,0
85,86,O.J. Simpson*\SimpO.00,1976,29,1-1,BUF,NFL,14,13.0,290,1503,5.18,8,107.4,,22,259,11.77,1,18.5,,,1762,9,125.9,0
86,87,Roger Craig\CraiRo00,1988,28,2-49,SFO,NFL,16,15.0,310,1502,4.85,9,93.9,,76,534,7.03,1,33.4,,,2036,10,127.30000000000001,0
87,88,Barry Sanders*\SandBa00,1995,27,1-3,DET,NFL,16,16.0,314,1500,4.78,11,93.8,70.0,48,398,8.29,1,24.9,68.6%,5.69,1898,12,118.69999999999999,0
88,89,Nick Chubb\ChubNi00,2019,24,2-35,CLE,NFL,16,16.0,298,1494,5.01,8,93.4,49.0,36,278,7.72,0,17.4,73.5%,5.67,1772,8,110.80000000000001,0
89,90,Willie Parker\ParkWi00,2006,26,,PIT,NFL,16,16.0,337,1494,4.43,13,93.4,42.0,31,222,7.16,3,13.9,73.8%,5.29,1716,16,107.30000000000001,0
90,91,Barry Sanders*\SandBa00,1998,30,1-3,DET,NFL,16,16.0,343,1491,4.35,4,93.2,57.0,37,289,7.81,0,18.1,64.9%,5.07,1780,4,111.30000000000001,0
91,92,Mike Anderson\AndeMi00,2000,27,6-189,DEN,NFL,16,12.0,297,1487,5.01,15,92.9,32.0,23,169,7.35,0,10.6,71.9%,5.28,1656,15,103.5,0
92,93,Curtis Martin*\MartCu00,1995,22,3-74,NWE,NFL,16,15.0,368,1487,4.04,14,92.9,50.0,30,261,8.7,1,16.3,60.0%,5.22,1748,15,109.2,0
93,94,Clinton Portis\PortCl00,2008,27,2-51,WAS,NFL,16,16.0,342,1487,4.35,9,92.9,35.0,28,218,7.79,0,13.6,80.0%,6.23,1705,9,106.5,0
94,95,Thurman Thomas*\ThomTh00,1992,26,2-40,BUF,NFL,16,16.0,312,1487,4.77,9,92.9,87.0,58,626,10.79,3,39.1,66.7%,7.2,2113,12,132.0,0
95,96,Gerald Riggs\RiggGe00,1984,24,1-9,ATL,NFL,15,14.0,353,1486,4.21,13,99.1,,42,277,6.6,0,18.5,,,1763,13,117.6,0
96,97,Emmitt Smith*\SmitEm00,1993,24,1-17,DAL,NFL,14,13.0,283,1486,5.25,9,106.1,65.0,57,414,7.26,1,29.6,87.7%,6.37,1900,10,135.7,1
97,98,Adrian Peterson\PeteAd01,2015,30,1-7,MIN,NFL,16,16.0,327,1485,4.54,11,92.8,36.0,30,222,7.4,0,13.9,83.3%,6.17,1707,11,106.7,0
98,99,Emmitt Smith*\SmitEm00,1994,25,1-17,DAL,NFL,15,15.0,368,1484,4.03,21,98.9,61.0,50,341,6.82,1,22.7,82.0%,5.59,1825,22,121.60000000000001,0
99,100,Curt Warner\WarnCu00,1986,25,1-3,SEA,NFL,16,16.0,319,1481,4.64,13,92.6,,41,342,8.34,0,21.4,,,1823,13,114.0,0
100,101,Christian Okoye\OkoyCh00,1989,28,2-35,KAN,NFL,15,14.0,370,1480,4.0,12,98.7,,2,12,6.0,0,0.8,,,1492,12,99.5,0
101,102,Jim Taylor*\TaylJi00,1962,27,2-15,GNB,NFL,14,14.0,272,1474,5.42,19,105.3,,22,106,4.82,0,7.6,,,1580,19,112.89999999999999,1
102,103,LaDainian Tomlinson*\TomlLa00,2007,28,1-5,SDG,NFL,16,16.0,315,1474,4.68,15,92.1,86.0,60,475,7.92,3,29.7,69.8%,5.52,1949,18,121.8,0
103,104,Barry Sanders*\SandBa00,1989,21,1-3,DET,NFL,15,13.0,280,1470,5.25,14,98.0,,24,282,11.75,0,18.8,,,1752,14,116.8,0
104,105,Jamaal Charles\CharJa00,2010,24,3-73,KAN,NFL,16,6.0,230,1467,6.38,5,91.7,64.0,45,468,10.4,3,29.3,70.3%,7.31,1935,8,121.0,0
105,106,Curtis Martin*\MartCu00,1999,26,3-74,NYJ,NFL,16,16.0,367,1464,3.99,5,91.5,49.0,45,259,5.76,0,16.2,91.8%,5.29,1723,5,107.7,0
106,107,LaDainian Tomlinson*\TomlLa00,2005,26,1-5,SDG,NFL,16,16.0,339,1462,4.31,18,91.4,77.0,51,370,7.25,2,23.1,66.2%,4.81,1832,20,114.5,0
107,108,Walter Payton*\PaytWa00,1980,26,1-4,CHI,NFL,16,16.0,317,1460,4.61,6,91.3,,46,367,7.98,1,22.9,,,1827,7,114.19999999999999,0
108,109,Rudi Johnson\JohnRu00,2005,26,4-100,CIN,NFL,16,14.0,337,1458,4.33,12,91.1,30.0,23,90,3.91,0,5.6,76.7%,3.0,1548,12,96.69999999999999,0
109,110,Jim Nance\NancJi00,1966,24,4-45 19-151AFL,BOS,AFL,14,,299,1458,4.88,11,104.1,,8,103,12.88,0,7.4,,,1561,11,111.5,0
110,111,Rudi Johnson\JohnRu00,2004,25,4-100,CIN,NFL,16,16.0,361,1454,4.03,12,90.9,28.0,15,84,5.6,0,5.3,53.6%,3.0,1538,12,96.2,0
111,112,Doug Martin\MartDo00,2012,23,1-31,TAM,NFL,16,16.0,319,1454,4.56,11,90.9,70.0,49,472,9.63,1,29.5,70.0%,6.74,1926,12,120.4,0
112,113,Earl Campbell*\CampEa00,1978,23,1-1,HOU,NFL,15,14.0,302,1450,4.8,13,96.7,,12,48,4.0,0,3.2,,,1498,13,99.9,0
113,114,Curt Warner\WarnCu00,1983,22,1-3,SEA,NFL,16,16.0,335,1449,4.33,13,90.6,,42,325,7.74,1,20.3,,,1774,14,110.89999999999999,0
114,115,Jim Brown*\BrowJi00,1964,28,1-6,CLE,NFL,14,14.0,280,1446,5.16,7,103.3,,36,340,9.44,2,24.3,,,1786,9,127.6,0
115,116,Stephen Davis\DaviSt00,2003,29,4-102,CAR,NFL,14,14.0,318,1444,4.54,8,103.1,17.0,14,159,11.36,0,11.4,82.4%,9.35,1603,8,114.5,0
116,117,Travis Henry\HenrTr00,2002,24,2-58,BUF,NFL,16,16.0,325,1438,4.42,13,89.9,59.0,43,309,7.19,1,19.3,72.9%,5.24,1747,14,109.2,0
117,118,Billy Sims\SimsBi00,1981,26,1-1,DET,NFL,14,14.0,296,1437,4.85,13,102.6,,28,451,16.11,2,32.2,,,1888,15,134.8,0
118,119,Shaun Alexander\AlexSh00,2003,26,1-19,SEA,NFL,16,15.0,326,1435,4.4,14,89.7,59.0,42,295,7.02,2,18.4,71.2%,5.0,1730,16,108.1,0
119,120,Corey Dillon\DillCo00,2000,26,2-43,CIN,NFL,16,16.0,315,1435,4.56,7,89.7,26.0,18,158,8.78,0,9.9,69.2%,6.08,1593,7,99.60000000000001,0
120,121,Dorsey Levens\LeveDo00,1997,27,5-149,GNB,NFL,16,16.0,329,1435,4.36,7,89.7,67.0,53,370,6.98,5,23.1,79.1%,5.52,1805,12,112.80000000000001,0
121,122,Ezekiel Elliott\ElliEz00,2018,23,1-4,DAL,NFL,15,15.0,304,1434,4.72,6,95.6,95.0,77,567,7.36,3,37.8,81.1%,5.97,2001,9,133.39999999999998,0
122,123,Stephen Davis\DaviSt00,2001,27,4-102,WAS,NFL,16,16.0,356,1432,4.02,5,89.5,37.0,28,205,7.32,0,12.8,75.7%,5.54,1637,5,102.3,0
123,124,Jerome Bettis*\BettJe00,1996,24,1-10,PIT,NFL,16,12.0,320,1431,4.47,11,89.4,32.0,22,122,5.55,0,7.6,68.8%,3.81,1553,11,97.0,0
