Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
859,Ollie Matson*\MatsOl00,1959,29,1-3,RAM,NFL,12,9,161,863,5.36,6,71.9,,18,130,7.22,0,10.8,,
860,Jerome Harrison\HarrJe00,2009,26,5-145,CLE,NFL,14,7,194,862,4.44,5,61.6,50,34,220,6.47,2,15.7,68.0%,4.40
861,Timmy Brown\BrowTi01,1965,28,27-313,PHI,NFL,13,13,158,861,5.45,6,66.2,,50,682,13.64,3,52.5,,
862,Hewritt Dixon\DixoHe00,1970,30,11-151 8-60AFL,OAK,NFL,14,14,197,861,4.37,1,61.5,,31,207,6.68,1,14.8,,
863,Joique Bell\BellJo01,2014,28,,DET,NFL,15,6,223,860,3.86,7,57.3,53,34,322,9.47,1,21.5,64.2%,6.08
864,Le'Veon Bell\BellLe00,2013,21,2-48,PIT,NFL,13,13,244,860,3.52,8,66.2,66,45,399,8.87,0,30.7,68.2%,6.05
865,Larry Brown\BrowLa01,1973,26,8-191,WAS,NFL,14,14,273,860,3.15,8,61.4,,40,482,12.05,6,34.4,,
866,Gerry Ellis\ElliGe00,1981,24,7-192,GNB,NFL,16,16,196,860,4.39,4,53.8,,65,499,7.68,3,31.2,,
867,Mel Farr\FarrMe00,1967,23,1-7,DET,NFL,13,11,206,860,4.17,3,66.2,,39,317,8.13,3,24.4,,
868,Derrick Fenner\FennDe00,1990,23,10-268,SEA,NFL,16,15,215,859,4.00,14,53.7,,17,143,8.41,1,8.9,,
869,Floyd Little*\LittFl00,1972,30,1-6,DEN,NFL,14,14,216,859,3.98,9,61.4,,28,367,13.11,4,26.2,,
870,Dexter Bussey\BussDe00,1976,24,3-65,DET,NFL,14,14,196,858,4.38,3,61.3,,28,218,7.79,0,15.6,,
871,Dick Hoak\HoakDi00,1968,29,7-90,PIT,NFL,14,13,175,858,4.90,3,61.3,,28,253,9.04,1,18.1,,
